iteration,player0_win,player1_win,Draw
10,71,29,0
20,36,64,0
30,30,70,0
40,20,78,2
50,8,89,3
60,13,87,0
70,12,87,1
80,8,90,2
90,12,87,1
100,4,95,1
110,8,82,10
120,2,96,2
130,9,82,9
140,7,88,5
150,9,88,3
160,6,88,6
170,7,85,8
180,8,81,11
190,5,90,5
200,4,88,8
210,5,90,5
220,7,89,4
230,7,87,6
240,6,87,7
250,5,88,7
260,3,95,2
270,9,82,9
280,8,82,10
